PLS_Puis_EI(1),questions(1),temps(1),PLS_ET_EI(2),questions(2),temps(2),Optimale
6921.93,4,19.625,6921.93,4,42.642,6959.68
6612.86,1,4.252,6612.86,4,190.05,6612.86
5868.58,3,4047.601,5868.58,4,1011.0,5868.58
6960.69,2,46.051,6960.69,1,38.107,6960.69
7574.43,1,29.132,7574.43,4,64.204,7574.43
6713.12,1,21.354,6549.3,2,13.616,6713.12
6989.04,0,0.728,6989.04,2,114.464,6989.04
7140.53,0,2.959,7140.53,0,37.583,7140.53
6572.4,5,250.672,6572.4,5,63.148,6572.4
6469.22,1,651.171,6469.22,9,183.452,6469.22
7072.08,3,762.842,7072.08,6,122.797,7072.08
6811.97,2,283.271,6811.97,3,188.024,6811.97
6963.82,0,179.056,6963.82,5,198.737,6963.82
7582.81,2,572.962,7582.81,4,127.832,7582.81
6883.77,4,785.998,6883.77,4,72.693,6883.77
6850.76,3,558.128,6679.83,4,26.26,6850.76
6619.82,2,93.937,6619.82,3,13.527,6619.82
7339.76,4,1452.011,7339.76,5,165.15,7339.76
7136.32,1,11.246,6800.1,3,25.339,7136.32
7500.92,1,91.542,7446.94,2,76.154,7500.92
6062.68,9,11234.059,6062.68,8,195.91,6062.68
6801.43,2,252.162,6801.43,4,117.305,6801.43
6516.78,1,573.045,6516.78,3,108.875,6516.78
7170.37,5,380.734,7170.37,12,194.673,7170.37
6283.92,6,1124.854,6219.44,5,28.283,6283.92
7201.0,3,529.424,7201.0,8,184.94,7201.0
7451.36,5,2312.48,7308.37,9,317.885,7451.36
7445.59,3,244.918,7330.47,7,105.383,7445.59
7069.99,4,148.974,7069.99,7,39.292,7069.99
