PLS_Puis_EI(1),questions(1),temps(1),PLS_ET_EI(2),questions(2),temps(2),Optimale
6543.43,2,10.677,6543.43,4,96.687,6543.43
6609.57,3,157.229,6609.57,3,182.328,6609.57
6981.87,2,23.8,6967.08,1,4.938,6981.87
6380.22,1,65.192,6297.21,2,101.323,6380.22
7838.06,4,103.963,7838.06,7,93.016,7838.06
8333.08,1,1.429,8333.08,3,62.999,8333.08
7443.1,1,9.09,7443.1,2,85.19,7443.1
7007.84,2,11.76,6957.27,3,132.789,7007.84
7055.62,0,2.655,7055.62,3,120.117,7055.62
7071.35,3,50.037,7071.35,9,208.429,7071.35
7069.22,3,21.268,7069.22,3,100.805,7069.22
7387.03,3,27.248,7379.0,1,4.966,7387.03
7103.18,1,26.254,7103.18,1,27.565,7103.18
7099.1,4,55.173,7099.1,3,141.887,7099.1
7708.44,2,37.407,7482.68,5,77.904,7708.44
6682.9,2,72.806,6682.9,5,100.099,6682.9
7580.55,3,47.17,7580.55,3,152.708,7580.55
7534.7,2,168.381,7454.26,4,158.892,7534.7
7218.68,2,75.47,7218.68,9,138.083,7218.68
6256.84,3,199.283,6079.44,6,247.903,6256.84
6625.26,3,39.58,6625.26,4,152.004,6625.26
6486.22,1,14.115,6486.22,4,68.745,6486.22
6998.03,1,101.591,6998.03,2,59.075,6998.03
6605.04,3,162.49,6560.91,6,50.551,6622.88
8285.35,0,4.082,8119.6,3,77.253,8285.35
6475.51,2,53.319,6436.32,3,90.994,6475.51
7008.08,1,99.834,6984.19,1,83.892,7008.08
6438.1,2,110.373,6364.68,1,50.555,6438.1
7059.27,0,25.567,7059.27,3,237.849,7059.27
7557.45,2,9.887,7473.74,5,19.103,7557.45
