PLS_Puis_EI(1),questions(1),temps(1),PLS_ET_EI(2),questions(2),temps(2),Optimale
7585.56,7,53.768,7585.56,7,70.338,7585.56
6987.93,7,25.035,6987.93,8,117.754,6987.93
7118.75,8,262.844,7010.65,12,543.338,7118.75
7031.26,7,22.07,6911.41,3,23.56,7031.26
8241.27,5,58.529,8241.27,10,92.129,8241.27
6328.84,6,11.475,6328.84,5,126.317,6835.81
7237.35,6,151.295,7237.35,12,194.941,7237.35
7907.52,7,195.089,7907.52,9,171.352,7907.52
7112.04,8,76.19,7112.04,4,120.449,7112.04
6568.15,8,482.211,6224.58,6,41.909,6568.15
7017.2,2,4.179,7017.2,3,28.832,7017.2
7634.56,6,28.513,7634.56,7,104.185,7634.56
7089.01,13,1767.247,7023.28,6,373.709,7089.01
6894.1,5,83.959,6894.1,7,140.184,6894.1
7984.94,6,103.869,7984.94,8,214.125,7984.94
